0Dreamstars.ModTranslation-name|Mod de traducción
If you're an NPC you're from video games.|Si eres un NPC eres de los videojuegos.
BAKE YOUR ROOMS BEFORE PUBLISHING THEM!|¡HORNEA TUS SALAS ANTES DE PUBLICARLAS!
Always watching Always watching Always watching Always watching Always watching Always watching Always watching Always watching |Siempre observando Siempre observando Siempre observando Siempre observando Siempre observando Siempre observando Siempre observando Siempre observando 
I'm tired.|Estoy cansado.
Behind you.|Detrás de ti.
It's Toasty in here.|Aquí Está Calentito.
Two towers of DEATH!|¡Dos torres de la MUERTE!
Side World (General system Bus)|Mundo Secundario (Bus de sistemas Generales)
Oh yeah, it's Mooning time!|Oh sí, ¡es hora de Lunear!
Skull Emoji|Emoji de Calavera
Front House|Frente del Mundo
//3324777051
Wanderer|Trotamundos
The Wanderer|El trotamundos
THE WANDERER|EL TROTAMUNDOS
Curious and calm, with an innate desire to discover ancient mysteries around.<LINE>In tune with the events of the world, your journey will have a significant impact on things much greater than yourself.|Curioso y tranquilo, con un deseo innato de descubrir antiguos misterios.<LINE>En sintonía con los sucesos del mundo, tu viaje tendrá un impacto significativo en cosas mucho más grandes que tú.
Forest Sanctuary|Santuario Forestal
Depot Remnants|Remanentes de Depósito
Preservation Facility|Instalación de Preservación
Intake System|Sistema de Entrada
Gravity Pump|Bomba de Agua por Gravedad
Water Reservoir|Depósito de Agua
The Fragmented Exterior|El Exterior Fragmentado
The East Leg|La Pata Este
The West Leg|La Pata Oeste
The Decaying Wall|El Muro Decadente
Looks to the Moon|Miras a la Luna
Looks to the Moon (Damaged Transform Arrays)|Miras a la Luna (Sistema de Transformación Dañado)
Looks to the Moon (General System Bus)|Miras a la Luna (Bus de Sistemas Generales)
Looks to the Moon (Memory Conflux)|Miras a la Luna (Confluencia de Recuerdos)
While on the ground, tap MAP and then press JUMP to slow down time.|Mientras estás en el suelo, toca el MAPA y luego pulsa SALTAR para ralentizar el tiempo.
Then hold a DIRECTION and press JUMP to finish the boost.|Después mantén pulsada una DIRECCIÓN y pulsa SALTAR para finalizar el potenciador.
You again.|Tú otra vez.
Oh, hello!|Oh, ¡hola!
Oh, hello.|Oh, hola.
I wonder what it is that you want?|Me pregunto qué es lo que quieres.
I do enjoy the company. You're welcome to stay a while, little quiet one.|Yo disfruto de la compañía. Siéntete libre de quedarte un rato, tranquila criatura.
Don't toy around with those, please.|No juegues con ellas, por favor.
Thank you.|Gracias.
Here.|Aquí tienes.
That's all. You can leave now.|Suficiente. Puedes irte ahora.
Just GO ALREADY.|Vete YA DE UNA VEZ.
What is that?|¿Qué es eso?
Another discovery?|¿Otro descubrimiento?
I will take a look.|Echaré un vistazo.
Oh, what is that, <PlayerName>?|Oh, ¿qué es eso, <PlayerName>?
What is that, <PlayerName>?|¿Qué es eso, <PlayerName>?
Yet another thing?|¿Otra cosa más?
//3337851216
Drowned Pantheon|Panteón Inundado
Artic Chasm|Abismo Ártico
Spooderland|País de las Arañas
Bells still ringing|Campanas que siguen sonando
//3338239924
Fading Expanse|Expansión Desvanecida
Humid Fields|Campos Húmedos
//3357751340
Preservatory|Preservatorio
Forgone Cycles|Ciclos Abandonados
//3359185954
Dusty Wireworks|Alambres Polvorientos
//3364527943
Forgotten Boiler|Calentador Olvidado
South Warehouse|Almacén Sur
Centipede's Lair|Guarida del Ciempiés
//3365922544
Pulse Jump|Salto de pulso
//3373996610
Drainage Canal|Canal de Drenaje
Aspirational Level Design|Diseño de Niveles con Aspiraciones
Fridged Valley|Valle Refrigerado
more drops of insanity|más gotas de demencia
Underpass|Paso a Desnivel
Transit Control|Control de Tránsito
Rusting Sanctuary|Santuario Decaído
Sanctuary's Peak|Punto más Alto del Santuario
underass|ano a desnivel
BLOOOOO0OOOOOOOOOOM|BRILLOOOOO0OOOOOOOOOO
prime tubes|tuberías primordiales
shipment manifest|manifiesto de carga
get dunked on|clavada de humillación
i missed the ship|me perdí el barco
//3375820548
Weakened Platform|Plataforma Debilitada
metallic plateau|altiplano metálico
